gene25	pp	gene213	8.0
gene25	pp	gene284	8.0
gene25	pp	gene695	8.0
gene25	pp	gene713	8.0
gene25	pp	seed1	8.0
gene25	pp	seed2	32.0
gene25	pp	gene213	8.0
gene25	pp	gene284	8.0
gene25	pp	gene695	8.0
gene25	pp	gene713	8.0
gene25	pp	seed1	8.0
gene25	pp	seed2	32.0
gene39	pp	gene85	16.0
gene39	pp	gene482	32.0
gene39	pp	gene888	16.0
gene39	pp	seed1	16.0
gene39	pp	seed2	32.0
gene39	pp	seed3	16.0
gene39	pp	gene25	16.0
gene39	pp	gene85	16.0
gene39	pp	gene482	32.0
gene39	pp	gene888	16.0
gene39	pp	seed1	16.0
gene39	pp	seed2	32.0
gene39	pp	seed3	16.0
gene39	pp	gene25	16.0
gene85	pp	gene89	8.0
gene85	pp	gene213	8.0
gene85	pp	gene320	16.0
gene85	pp	gene482	8.0
gene85	pp	gene713	16.0
gene85	pp	gene843	8.0
gene85	pp	gene888	8.0
gene85	pp	gene952	8.0
gene85	pp	gene1120	16.0
gene85	pp	seed1	16.0
gene85	pp	seed2	16.0
gene85	pp	seed3	8.0
gene85	pp	gene25	8.0
gene85	pp	gene39	16.0
gene85	pp	gene89	8.0
gene85	pp	gene213	8.0
gene85	pp	gene320	16.0
gene85	pp	gene482	8.0
gene85	pp	gene713	16.0
gene85	pp	gene843	8.0
gene85	pp	gene888	8.0
gene85	pp	gene952	8.0
gene85	pp	gene1120	16.0
gene85	pp	seed1	16.0
gene85	pp	seed2	16.0
gene85	pp	seed3	8.0
gene85	pp	gene25	8.0
gene85	pp	gene39	16.0
gene89	pp	gene284	8.0
gene89	pp	gene320	8.0
gene89	pp	gene652	16.0
gene89	pp	gene713	8.0
gene89	pp	gene835	16.0
gene89	pp	gene845	8.0
gene89	pp	gene1120	16.0
gene89	pp	seed2	8.0
gene89	pp	gene25	8.0
gene89	pp	gene284	8.0
gene89	pp	gene320	8.0
gene89	pp	gene652	16.0
gene89	pp	gene713	8.0
gene89	pp	gene835	16.0
gene89	pp	gene845	8.0
gene89	pp	gene1120	16.0
gene89	pp	seed2	8.0
gene89	pp	gene25	8.0
gene213	pp	seed2	32.0
gene213	pp	seed3	16.0
gene213	pp	gene89	16.0
gene213	pp	seed2	32.0
gene213	pp	seed3	16.0
gene213	pp	gene89	16.0
gene284	pp	gene713	16.0
gene284	pp	gene766	16.0
gene284	pp	gene845	16.0
gene284	pp	gene1120	16.0
gene284	pp	gene1232	16.0
gene284	pp	seed2	32.0
gene284	pp	seed3	16.0
gene284	pp	gene89	16.0
gene284	pp	gene713	16.0
gene284	pp	gene766	16.0
gene284	pp	gene845	16.0
gene284	pp	gene1120	16.0
gene284	pp	gene1232	16.0
gene284	pp	seed2	32.0
gene284	pp	seed3	16.0
gene284	pp	gene89	16.0
gene320	pp	gene482	16.0
gene320	pp	gene845	32.0
gene320	pp	gene888	16.0
gene320	pp	gene1120	16.0
